Date,Time,Pres,Temp,Cond,Sal,O2%,O2ppm,pH,PAR,Chl(a)Phy-EthrinPhy-Cyanin,datetime,Depth,pot_temp,density,N2,mld_temp,mld_dens
06-07-2024,16:05:050.58,45.79,-0.077,26.268,31.395,104.7,12.35,8.252,0.12583,2.36,2024-07-06 16:05:05.058,45.4074597467297,-0.07826538580529789,25.084588520243642,-0.0003849586517914274,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:050.82,45.81,-0.077,26.267,31.394,104.6,12.35,8.252,0.12731,2.18,2024-07-06 16:05:05.082,45.427290457669464,-0.07826585580636576,25.083785842107773,2.0583774467419462e-05,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:051.07,45.83,-0.078,26.267,31.394,104.7,12.35,8.252,0.13101,2.37,2024-07-06 16:05:05.107,45.447121166685285,-0.07926600391793055,25.083827326250002,0.0015398401774568598,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:051.31,45.84,-0.078,26.268,31.396,104.6,12.35,8.252,0.12657,2.36,2024-07-06 16:05:05.131,45.45703652047171,-0.07926646772999446,25.085432688962555,0.0,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:051.56,45.9,-0.078,26.268,31.396,104.7,12.35,8.252,0.13545,2.36,2024-07-06 16:05:05.156,45.516528633089635,-0.07926815194262414,25.085432688962555,-0.0004055463712745932,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:051.80,45.92,-0.077,26.268,31.395,104.7,12.35,8.252,0.1088,2.48,2024-07-06 16:05:05.180,45.536359333447734,-0.078269035805989,25.084588520243642,-0.0015810130699986347,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:052.05,45.93,-0.076,26.267,31.393,104.7,12.35,8.252,0.11398,2.3,2024-07-06 16:05:05.205,45.5462746829053,-0.07726954734294421,25.082941669419824,0.0003952533452605859,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:052.29,45.97,-0.077,26.268,31.395,104.7,12.35,8.252,0.12213,2.7,2024-07-06 16:05:05.229,45.58593607592578,-0.07827043973902784,25.084588520243642,0.0007287440507071618,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:052.54,45.96,-0.078,26.267,31.394,104.7,12.35,8.252,0.1088,2.26,2024-07-06 16:05:05.254,45.57602072839212,-0.07926965258944377,25.083827326250002,0.0007699189316442067,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:052.79,45.98,-0.078,26.268,31.396,104.7,12.35,8.252,0.12064,2.48,2024-07-06 16:05:05.279,45.59585142297842,-0.07927039766726005,25.085432688962555,-0.0001099883679847501,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:053.04,46.05,-0.078,26.268,31.395,104.7,12.35,8.252,0.1088,2.48,2024-07-06 16:05:05.304,45.66525883887951,-0.07927227078071239,25.084630007575242,,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:053.28,46.05,-0.078,26.267,31.395,104.6,12.35,8.252,0.12138,2.48,2024-07-06 16:05:05.328,45.66525883887951,-0.07927227078071239,25.084630007575242,4.116449090509643e-05,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:053.53,46.06,-0.079,26.267,31.395,104.6,12.35,8.252,0.12731,2.59,2024-07-06 16:05:05.353,45.675174182084326,-0.08027213604704106,25.084671481245095,0.0003849605798452641,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:053.77,46.08,-0.079,26.267,31.396,104.6,12.35,8.252,0.12509,2.58,2024-07-06 16:05:05.377,45.69500486705097,-0.08027278936733398,25.08547416582178,-0.00019248022563951478,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:054.02,46.12,-0.079,26.267,31.395,104.6,12.35,8.252,0.11916,2.69,2024-07-06 16:05:05.402,45.73466623121249,-0.0802738198540967,25.084671481245095,0.0,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:054.26,46.15,-0.079,26.267,31.395,104.6,12.35,8.252,0.11324,2.37,2024-07-06 16:05:05.426,45.76441224928333,-0.08027466178361216,25.084671481245095,0.0,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:054.51,46.17,-0.079,26.267,31.395,104.6,12.34,8.252,0.12138,2.61,2024-07-06 16:05:05.451,45.78424292559234,-0.08027522307958082,25.084671481245095,-0.0,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:054.75,46.15,-0.079,26.267,31.395,104.6,12.35,8.252,0.11324,2.73,2024-07-06 16:05:05.475,45.76441224928333,-0.08027466178361216,25.084671481245095,0.00040553898752741514,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:055.00,46.17,-0.08,26.267,31.396,104.6,12.35,8.252,0.12287,2.73,2024-07-06 16:05:05.500,45.78424292559234,-0.08127489886879943,25.0855156290188,-0.00019248079659998495,-0.08925805897988083,-0.08925805897988083
06-07-2024,16:05:055.24,46.21,-0.08,26.267,31.395,104.6,12.35,8.252,0.11842,2.61,2024-07-06 16:05:05.524,45.82390427243857,-0.08127592888288299,25.08471294125252,-0.0008110689098333318,-0.08925805897988083,-0.08925805897988083
